역번호,역명,구분,카이제곱통계량,P값,자유도,지하철 기대 빈도,버스 기대 빈도,동일 여부
216,잠실(송파구청),하차,0.047477158880374445,1.0,19,"[0.00847016 0.02073506 0.04542107 0.0778916  0.06500941 0.05424112
 0.05259648 0.05159985 0.05286502 0.05218424 0.05660109 0.0631549
 0.07329302 0.08785171 0.06580693 0.05192129 0.04485289 0.03974412
 0.02418974 0.0115703 ]","[0.00836144 0.02046891 0.04483807 0.07689181 0.06417498 0.0535449
 0.05192138 0.05093754 0.05218646 0.05151442 0.05587459 0.06234427
 0.07235226 0.08672409 0.06496226 0.05125486 0.04427718 0.03923398
 0.02387926 0.01142179]",동일
217,잠실새내,승차,0.06848134148809597,1.0,19,"[0.00932758 0.01741854 0.05169571 0.07547257 0.06135298 0.05320298
 0.04923458 0.05086571 0.05180764 0.04998803 0.05582378 0.06212514
 0.06711224 0.07311878 0.06029756 0.05428733 0.05213095 0.0527538
 0.03580399 0.01618013]","[0.00917876 0.01714063 0.05087093 0.07426844 0.06037412 0.05235415
 0.04844907 0.05005417 0.05098107 0.04919049 0.05493314 0.06113396
 0.06604149 0.07195221 0.05933554 0.0534212  0.05129923 0.05191213
 0.03523275 0.01592199]",동일
217,잠실새내,하차,0.04184423344848661,1.0,19,"[0.0070901  0.01269401 0.02676555 0.04655088 0.0491654  0.04233071
 0.04439171 0.04702178 0.05225008 0.05567416 0.06367221 0.0720697
 0.0847709  0.10615311 0.08088665 0.06267886 0.05314049 0.0510509
 0.02736698 0.01427582]","[0.00698785 0.01251094 0.02637954 0.04587952 0.04845633 0.04172021
 0.04375149 0.04634364 0.05149653 0.05487123 0.06275393 0.07103031
 0.08354833 0.10462217 0.07972011 0.0617749  0.0523741  0.05031464
 0.0269723  0.01406993]",동일
218,종합운동장,승차,0.0889871150827889,1.0,19,"[0.00756907 0.01744592 0.04827167 0.06635186 0.05357825 0.04342219
 0.0391389  0.0410817  0.04201159 0.04401324 0.0529616  0.0703969
 0.07712255 0.07191841 0.06055719 0.05431989 0.08156202 0.06985683
 0.03789238 0.02052785]","[0.00749667 0.01727905 0.04780995 0.06571721 0.05306578 0.04300686
 0.03876454 0.04068876 0.04160976 0.04359226 0.05245503 0.06972357
 0.07638488 0.07123052 0.05997796 0.05380033 0.08078188 0.06918865
 0.03752994 0.02033151]",동일
218,종합운동장,하차,0.05974435963307978,1.0,19,"[0.00831342 0.01946128 0.04685429 0.06922658 0.0454491  0.03922314
 0.03332783 0.04328771 0.05411346 0.04789598 0.05935495 0.07127832
 0.08967319 0.1125659  0.07727874 0.05552943 0.04497958 0.0469066
 0.02293644 0.01234406]","[0.00820697 0.01921207 0.04625432 0.06834013 0.04486712 0.03872088
 0.03290106 0.04273341 0.05342054 0.04728267 0.0585949  0.0703656
 0.08852492 0.11112449 0.07628918 0.05481837 0.04440362 0.04630596
 0.02264273 0.01218599]",동일
219,삼성(무역센터),승차,0.19440541585800045,0.9999999999999998,19,"[0.0065298  0.01160512 0.0259708  0.04435533 0.03410358 0.02553851
 0.02878122 0.03444864 0.04210696 0.04847422 0.05929551 0.07229565
 0.10641915 0.14119938 0.09068234 0.08074603 0.06316564 0.05062087
 0.02255099 0.01111024]","[0.00644338 0.01145155 0.02562711 0.04376835 0.03365227 0.02520054
 0.02840034 0.03399276 0.04154973 0.04783273 0.05851082 0.07133891
 0.10501084 0.1393308  0.08948229 0.07967747 0.06232973 0.04995098
 0.02225256 0.01096321]",동일
219,삼성(무역센터),하차,0.1335056725575105,1.0,19,"[0.01458381 0.02465978 0.06808843 0.14521732 0.11334017 0.08048564
 0.06309924 0.05169308 0.0532162  0.0492453  0.04829867 0.04906261
 0.05294731 0.05824018 0.03874226 0.02690358 0.02329013 0.0217935
 0.01095626 0.00613653]","[0.0143637  0.0242876  0.06706081 0.14302563 0.11162959 0.07927091
 0.06214691 0.0509129  0.05241304 0.04850207 0.04756972 0.04832214
 0.0521482  0.05736119 0.03815755 0.02649754 0.02293863 0.02146458
 0.0107909  0.00604392]",동일
220,선릉,승차,0.3375706358901036,0.9999999999999654,19,"[0.00721737 0.01687871 0.04568872 0.07693151 0.05616255 0.03477162
 0.03457162 0.03817566 0.0426504  0.04571706 0.05288063 0.06207745
 0.08415685 0.11445359 0.07862978 0.06789807 0.05494618 0.04519232
 0.02568078 0.01531915]","[0.00693567 0.01621993 0.04390548 0.07392885 0.05397051 0.03341448
 0.03322228 0.03668566 0.04098574 0.04393271 0.05081668 0.05965455
 0.08087219 0.10998644 0.07556084 0.06524799 0.05280161 0.04342845
 0.02467845 0.01472124]",동일
220,선릉,하차,0.10101950038148605,1.0,19,"[0.01676631 0.02898216 0.06702526 0.14407193 0.12193987 0.08449524
 0.06100255 0.0481204  0.04855438 0.04296224 0.04128654 0.04133974
 0.051927   0.06022267 0.04098949 0.02807665 0.02423468 0.02297695
 0.01526106 0.00976486]","[0.01602137 0.02769446 0.06404729 0.13767074 0.11652201 0.08074107
 0.05829217 0.04598239 0.04639709 0.04105341 0.03945215 0.03950299
 0.04961986 0.05754695 0.03916831 0.02682918 0.02315792 0.02195607
 0.01458301 0.00933101]",동일
221,역삼,승차,0.21068174331405354,0.9999999999999996,19,"[0.00711191 0.01378931 0.02976179 0.04544108 0.03726838 0.03100541
 0.03271606 0.03691156 0.04219605 0.04577889 0.05455083 0.06447673
 0.1061147  0.13323933 0.09439758 0.07495407 0.06174723 0.04713822
 0.02767676 0.01372412]","[0.00697025 0.01351463 0.02916894 0.04453591 0.03652601 0.03038779
 0.03206436 0.0361763  0.04135552 0.04486699 0.05346419 0.06319237
 0.10400092 0.13058524 0.09251721 0.07346101 0.06051724 0.04619924
 0.02712545 0.01345074]",동일
