역번호,역명,구분,시간대,평일 분포,평일 매개변수,평일 데이터수,주말 분포,주말 매개변수,주말 데이터수,승자,승리 횟수,승리 항목
223,교대(법원.검찰청),승차,09시-10시,"Weibull(shape=4.464, scale=334.064)","(np.float64(4.464163022787963), np.float64(872.9127709825152), np.float64(334.0640898142734))",188,"Triangular(min=0.000, mode=1162.000, max=1298.667)","(np.float64(0.8947636097715976), 0, np.float64(1298.6670303617843))",156,평일,3,"['mean', 'median', 'mode']"
223,교대(법원.검찰청),승차,10시-11시,"Weibull(shape=6.122, scale=392.650)","(np.float64(6.121951164054863), np.float64(691.3310438392484), np.float64(392.6496316932555))",147,"Gamma(alpha=3.059, beta=210.601)","(np.float64(3.0590256356783962), np.float64(117.93810205671974), np.float64(210.60137114444672))",156,평일,3,"['mean', 'median', 'mode']"
223,교대(법원.검찰청),승차,11시-12시,"Triangular(min=972.024, mode=1247.000, max=1379.941)","(np.float64(0.6740975730859423), np.float64(972.0244782161743), np.float64(407.9164986851881))",190,"Triangular(min=59.472, mode=1283.000, max=1476.098)","(np.float64(0.8636916417678813), np.float64(59.47170032648515), np.float64(1416.62630562273))",156,평일,3,"['mean', 'median', 'mode']"
223,교대(법원.검찰청),승차,12시-13시,"Weibull(shape=42.815, scale=4654.686)","(np.float64(42.815111487361456), np.float64(-3392.922912151448), np.float64(4654.68564639569))",193,"Triangular(min=117.733, mode=1190.000, max=1816.147)","(np.float64(0.6313341769345916), np.float64(117.73330331174594), np.float64(1698.4138287819567))",156,평일,3,"['mean', 'median', 'mode']"
223,교대(법원.검찰청),승차,13시-14시,"Weibull(shape=91014489.882, scale=15916816598.533)","(np.float64(91014489.88232586), np.float64(-15916815025.454746), np.float64(15916816598.532536))",199,"Triangular(min=90.953, mode=1554.000, max=2063.586)","(np.float64(0.741672345084486), np.float64(90.95272905818427), np.float64(1972.632902706624))",156,평일,2,"['mean', 'median']"
223,교대(법원.검찰청),승차,14시-15시,"Triangular(min=453.244, mode=2071.000, max=2371.352)","(np.float64(0.8434123437075036), np.float64(453.24369814552256), np.float64(1918.1084008607245))",208,"Gamma(alpha=4.616, beta=268.014)","(np.float64(4.6160187748312085), np.float64(90.1963436259094), np.float64(268.0141870835946))",155,평일,3,"['mean', 'median', 'mode']"
223,교대(법원.검찰청),승차,15시-16시,"Triangular(min=925.959, mode=2272.000, max=2596.761)","(np.float64(0.8056256156071682), np.float64(925.9591154196196), np.float64(1670.8019935102675))",199,"Triangular(min=0.000, mode=854.000, max=2982.030)","(np.float64(0.28638209759879313), 0, np.float64(2982.029977296071))",152,평일,3,"['mean', 'median', 'mode']"
223,교대(법원.검찰청),승차,16시-17시,"Weibull(shape=124872388.314, scale=23607736745.083)","(np.float64(124872388.31407869), np.float64(-23607734440.050793), np.float64(23607736745.082733))",197,"Triangular(min=12.721, mode=855.329, max=3496.751)","(np.float64(0.24184869245057872), np.float64(12.720714123583285), np.float64(3484.0300342255396))",156,평일,3,"['mean', 'median', 'mode']"
223,교대(법원.검찰청),승차,17시-18시,"Triangular(min=363.082, mode=4425.000, max=4550.914)","(np.float64(0.9699334272716107), np.float64(363.0815975097306), np.float64(4187.832162786984))",208,"Weibull(shape=1.260, scale=707.372)","(np.float64(1.260113168269394), np.float64(596.7415691003815), np.float64(707.3719985703747))",120,평일,3,"['mean', 'median', 'mode']"
223,교대(법원.검찰청),승차,18시-19시,"Triangular(min=0.000, mode=6535.000, max=6535.001)","(np.float64(0.9999999656353642), 0, np.float64(6535.00057050619))",208,"Lognormal(normalMean=6.854, normalStdDev=0.481)","(np.float64(0.4811382941497472), 108.17765399964323, np.float64(948.0918754711371))",120,평일,3,"['mean', 'median', 'mode']"
