역번호,역명,구분,시간대,평일 분포,평일 매개변수,평일 데이터수,주말 분포,주말 매개변수,주말 데이터수,승자,승리 횟수,승리 항목
245,신답,하차,13시-14시,"Lognormal(normalMean=5.750, normalStdDev=0.029)","(np.float64(0.02917837277388096), -260.96708280761624, np.float64(314.33825444406875))",200,"Weibull(shape=2.827, scale=42.044)","(np.float64(2.8265167925576886), np.float64(14.252841046577466), np.float64(42.04389234683947))",153,평일,3,"['mean', 'median', 'mode']"
245,신답,하차,14시-15시,"Triangular(min=32.158, mode=68.000, max=91.580)","(np.float64(0.603181422869315), np.float64(32.15757331852568), np.float64(59.42229871489439))",196,"Triangular(min=22.807, mode=68.000, max=99.991)","(np.float64(0.5855189532828631), np.float64(22.807232632874197), np.float64(77.18412378984014))",153,평일,2,"['mean', 'mode']"
245,신답,하차,15시-16시,"Triangular(min=25.516, mode=100.000, max=135.410)","(np.float64(0.6777833472689379), np.float64(25.51570567465273), np.float64(109.8939574247834))",207,"Weibull(shape=3.377, scale=75.310)","(np.float64(3.37689528870278), np.float64(8.072104343533036), np.float64(75.31001989285494))",152,평일,3,"['mean', 'median', 'mode']"
245,신답,하차,16시-17시,"Triangular(min=28.517, mode=145.000, max=164.582)","(np.float64(0.8560860926250262), np.float64(28.51691497274902), np.float64(136.0646855835713))",208,"Triangular(min=22.337, mode=76.000, max=193.231)","(np.float64(0.31401487720246596), np.float64(22.336587141999743), np.float64(170.89460366750245))",155,평일,3,"['mean', 'median', 'mode']"
245,신답,하차,17시-18시,"Triangular(min=38.399, mode=191.000, max=237.889)","(np.float64(0.7649538916900913), np.float64(38.39926436315391), np.float64(199.4901095289033))",208,"Lognormal(normalMean=4.593, normalStdDev=0.375)","(np.float64(0.3746290815182081), 0.631785922861473, np.float64(98.81697980261423))",141,평일,3,"['mean', 'median', 'mode']"
245,신답,하차,18시-19시,"Triangular(min=0.000, mode=473.000, max=508.881)","(np.float64(0.9294903662546117), 0, np.float64(508.8810139123244))",208,"Normal(mean=99.605, stdDev=27.224)","(np.float64(99.60504201680672), np.float64(27.22400648692097))",119,평일,3,"['mean', 'median', 'mode']"
245,신답,하차,19시-20시,"Triangular(min=74.010, mode=316.000, max=378.048)","(np.float64(0.795920756503129), np.float64(74.01020724431618), np.float64(304.0375449154865))",203,"Triangular(min=28.746, mode=67.000, max=341.927)","(np.float64(0.12214741585184732), np.float64(28.745693623068377), np.float64(313.1814628227638))",154,평일,3,"['mean', 'median', 'mode']"
245,신답,하차,20시-21시,"Weibull(shape=3.001, scale=38.615)","(np.float64(3.001474430528015), np.float64(104.340854459224), np.float64(38.61541010169025))",146,"Triangular(min=30.053, mode=83.000, max=158.904)","(np.float64(0.4109156242572185), np.float64(30.052851497337286), np.float64(128.8516313561197))",144,평일,3,"['mean', 'median', 'mode']"
245,신답,하차,21시-22시,"Normal(mean=148.580, stdDev=17.858)","(np.float64(148.58), np.float64(17.858432182025386))",150,"Weibull(shape=1.431, scale=46.076)","(np.float64(1.4309836783230647), np.float64(56.671272125446535), np.float64(46.07567207920833))",144,평일,3,"['mean', 'median', 'mode']"
245,신답,하차,22시-23시,"Normal(mean=120.835, stdDev=17.393)","(np.float64(120.83505154639175), np.float64(17.393374975506624))",194,"Weibull(shape=2.970, scale=79.181)","(np.float64(2.9700124927794245), np.float64(15.650936866741539), np.float64(79.18124764561496))",156,평일,3,"['mean', 'median', 'mode']"
245,신답,하차,23시-24시,"Gamma(alpha=41.092, beta=2.580)","(np.float64(41.09192000022766), np.float64(-31.700741424766534), np.float64(2.5795860382579))",167,"Weibull(shape=2.949, scale=67.644)","(np.float64(2.9491605033684007), np.float64(6.410799623109302), np.float64(67.64426640623927))",144,평일,2,"['mean', 'median']"
245,신답,하차,24시-01시,"Gamma(alpha=162.617, beta=0.740)","(np.float64(162.61729866196674), np.float64(-95.95175450751714), np.float64(0.7396064712398713))",159,"Triangular(min=0.000, mode=1.000, max=104.908)","(np.float64(0.009532138453451789), 0, np.float64(104.90825372776513))",148,평일,2,"['median', 'mode']"
245,신답,하차,01시-02시,"Triangular(min=23.237, mode=36.000, max=50.731)","(np.float64(0.4642149643368324), np.float64(23.23664266920835), np.float64(27.49449782613017))",201,"Weibull(shape=3.990, scale=36.199)","(np.float64(3.9900606801848406), np.float64(5.103476854379032), np.float64(36.19893141554673))",153,주말,3,"['mean', 'median', 'mode']"
