역번호,역명,구분,시간대,분포,KS통계량,P값,데이터수,성공여부
208,왕십리(성동구청),하차,12시-13시,"Lognormal(normalMean=7.004, normalStdDev=0.086)",0.077445,0.430263,123,성공
208,왕십리(성동구청),하차,13시-14시,"Triangular(min=451.679, mode=637.000, max=955.721)",0.082071,0.306206,135,성공
208,왕십리(성동구청),하차,14시-15시,"Weibull(shape=2.704, scale=343.375)",0.079139,0.281894,152,성공
208,왕십리(성동구청),하차,15시-16시,"Triangular(min=477.867, mode=742.000, max=1069.868)",0.046684,0.881625,151,성공
208,왕십리(성동구청),하차,16시-17시,"Weibull(shape=3.553, scale=624.942)",0.062927,0.562282,152,성공
208,왕십리(성동구청),하차,17시-18시,"Triangular(min=234.276, mode=1397.000, max=1767.411)",0.212564,1e-06,156,실패
208,왕십리(성동구청),하차,18시-19시,"Lognormal(normalMean=8.219, normalStdDev=0.067)",0.067554,0.62447,119,성공
208,왕십리(성동구청),하차,19시-20시,"Triangular(min=342.574, mode=714.000, max=1982.024)",0.095522,0.108678,156,성공
208,왕십리(성동구청),하차,20시-21시,"Weibull(shape=2.415, scale=338.256)",0.073254,0.43807,136,성공
208,왕십리(성동구청),하차,21시-22시,"Normal(mean=657.894, stdDev=101.572)",0.051842,0.823809,141,성공
208,왕십리(성동구청),하차,22시-23시,"Weibull(shape=2.638, scale=329.018)",0.062488,0.567103,153,성공
208,왕십리(성동구청),하차,23시-24시,"Triangular(min=255.756, mode=543.000, max=754.932)",0.068516,0.474323,147,성공
208,왕십리(성동구청),하차,24시-01시,"Triangular(min=0.000, mode=1.000, max=867.512)",0.320464,0.0,156,실패
208,왕십리(성동구청),하차,01시-02시,"Gamma(alpha=15.979, beta=1.856)",0.049168,0.851904,147,성공
208,왕십리(성동구청),하차,02시-03시,"Weibull(shape=2.181, scale=11.429)",0.069481,0.452302,148,성공
208,왕십리(성동구청),하차,03시-04시,"Triangular(min=5.047, mode=10.000, max=19.993)",0.095734,0.122002,149,성공
208,왕십리(성동구청),하차,04시-05시,"Triangular(min=3.200, mode=8.000, max=13.897)",0.113036,0.047765,143,실패
209,한양대,하차,05시-06시,"Normal(mean=15.013, stdDev=5.219)",0.083452,0.237013,149,성공
209,한양대,하차,06시-07시,"Triangular(min=0.000, mode=259.000, max=299.387)",0.518884,0.0,156,실패
209,한양대,하차,07시-08시,"Lognormal(normalMean=4.261, normalStdDev=1.499)",0.084765,0.212418,152,성공
209,한양대,하차,08시-09시,"Triangular(min=28.000, mode=28.000, max=2004.853)",0.402783,0.0,129,실패
209,한양대,하차,09시-10시,"Lognormal(normalMean=5.417, normalStdDev=1.190)",0.087986,0.251496,130,성공
209,한양대,하차,10시-11시,"Weibull(shape=1.126, scale=385.411)",0.057144,0.787251,125,성공
209,한양대,하차,11시-12시,"Gamma(alpha=2.233, beta=163.067)",0.07729,0.346544,142,성공
209,한양대,하차,12시-13시,"Lognormal(normalMean=5.904, normalStdDev=0.590)",0.068219,0.5573,130,성공
209,한양대,하차,13시-14시,"Lognormal(normalMean=6.139, normalStdDev=0.404)",0.0775,0.368607,136,성공
209,한양대,하차,14시-15시,"Weibull(shape=2.224, scale=323.309)",0.050112,0.888592,128,성공
209,한양대,하차,15시-16시,"Weibull(shape=2.789, scale=365.850)",0.071214,0.425456,147,성공
209,한양대,하차,16시-17시,"Triangular(min=89.087, mode=300.000, max=592.018)",0.050295,0.832627,147,성공
209,한양대,하차,17시-18시,"Lognormal(normalMean=5.959, normalStdDev=0.241)",0.069655,0.497573,137,성공
209,한양대,하차,18시-19시,"Lognormal(normalMean=5.713, normalStdDev=0.350)",0.098404,0.117196,143,성공
209,한양대,하차,19시-20시,"Weibull(shape=2.941, scale=220.504)",0.090192,0.166542,149,성공
209,한양대,하차,20시-21시,"Normal(mean=196.029, stdDev=34.019)",0.046872,0.908084,138,성공
209,한양대,하차,21시-22시,"Normal(mean=184.409, stdDev=27.588)",0.045261,0.929533,137,성공
209,한양대,하차,22시-23시,"Lognormal(normalMean=7.272, normalStdDev=0.021)",0.037038,0.983301,147,성공
209,한양대,하차,23시-24시,"Gamma(alpha=226.249, beta=1.817)",0.040663,0.962257,145,성공
209,한양대,하차,24시-01시,"Triangular(min=0.000, mode=1.000, max=261.237)",0.350744,0.0,155,실패
209,한양대,하차,01시-02시,"Triangular(min=2.688, mode=10.000, max=18.119)",0.101289,0.089475,148,성공
209,한양대,하차,02시-03시,"Lognormal(normalMean=2.779, normalStdDev=0.140)",0.111191,0.060967,138,성공
209,한양대,하차,03시-04시,"Triangular(min=1.561, mode=5.000, max=11.643)",0.119434,0.023978,152,실패
209,한양대,하차,04시-05시,"Triangular(min=0.754, mode=4.000, max=7.447)",0.228372,0.0,150,실패
210,뚝섬,하차,05시-06시,"Triangular(min=0.000, mode=97.000, max=120.083)",0.344781,0.0,156,실패
210,뚝섬,하차,06시-07시,"Triangular(min=0.000, mode=216.000, max=870.626)",0.25641,0.0,156,실패
210,뚝섬,하차,07시-08시,"Triangular(min=18.966, mode=18.966, max=496.643)",0.088897,0.291124,118,성공
210,뚝섬,하차,08시-09시,"Triangular(min=85.573, mode=200.000, max=1109.698)",0.076786,0.466827,118,성공
210,뚝섬,하차,09시-10시,"Lognormal(normalMean=6.601, normalStdDev=0.549)",0.116499,0.072899,119,성공
210,뚝섬,하차,10시-11시,"Triangular(min=-24.714, mode=1012.000, max=2285.663)",0.061858,0.617603,144,성공
210,뚝섬,하차,11시-12시,"Triangular(min=387.213, mode=1234.000, max=1963.842)",0.074612,0.419601,135,성공
210,뚝섬,하차,12시-13시,"Triangular(min=569.915, mode=1188.000, max=2230.005)",0.059545,0.64402,149,성공
210,뚝섬,하차,13시-14시,"Triangular(min=703.810, mode=1259.000, max=2151.129)",0.060474,0.662441,140,성공
210,뚝섬,하차,14시-15시,"Gamma(alpha=5.522, beta=117.471)",0.036098,0.990615,139,성공
210,뚝섬,하차,15시-16시,"Lognormal(normalMean=7.333, normalStdDev=0.172)",0.048639,0.871043,143,성공
210,뚝섬,하차,16시-17시,"Gamma(alpha=129.373, beta=21.112)",0.042789,0.947298,142,성공
210,뚝섬,하차,17시-18시,"Triangular(min=539.788, mode=1448.000, max=2107.136)",0.064199,0.524316,155,성공
